name,time,speech
Chris Wallace,2020-09-30 01:27:52,Mr. President?
President Donald J. Trump,2020-09-30 01:27:53,"Did you use the word smart? So you said you went to Delaware State, but you forgot the name of your college. You didn’t go to Delaware State. You graduated either the lowest or almost the lowest in your class. Don’t ever use the word smart with me. Don’t ever use that word."
Vice President Joe Biden,2020-09-30 01:28:09,"Oh, give me a break."
President Donald J. Trump,2020-09-30 01:28:09,"Because you know what? There’s nothing smart about you, Joe. 47 years you’ve done nothing."
Vice President Joe Biden,2020-09-30 01:28:14,"Well, let’s have this debate-"
President Donald J. Trump,2020-09-30 01:28:16,"Let me just tell you something, Joe. If you would have had the charge of what I was put through, I had to close the greatest economy of the history of our country. And by the way, now it’s being built again and it’s going up fast."
Chris Wallace,2020-09-30 01:28:27,"We’ll get to the economy in the next segment, sir."
President Donald J. Trump,2020-09-30 01:28:29,Okay. It’s going up fast. I look forward to talking about it.
Chris Wallace,2020-09-30 01:28:31,"Okay. When it comes to how the virus has been handled so far, the two of you have taken very different approaches, and this is going to affect how the virus is handled going forward by whichever of you ends up becoming the next president. I want to quickly go through several of those. Reopenings. Vice President Biden, you have been much more reluctant than President Trump about reopening the economy and schools. Why, sir?"
Vice President Joe Biden,2020-09-30 01:28:56,"Because he doesn’t have a plan. If I were running it, I’d know what the plan is. You’ve got to provide these businesses the ability to have the money to be able to reopen with the PPE, as well as with the sanitation they need. You have to provide them classic-"
President Donald J. Trump,2020-09-30 01:29:10,Tell that to Nancy Pelosi.
Vice President Joe Biden,2020-09-30 01:29:12,Will he just shush for a minute?
President Donald J. Trump,2020-09-30 01:29:14,"Tell that to Nancy Pelosi, and Schumer  Chuck."
Vice President Joe Biden,2020-09-30 01:29:17,"Nancy Pelosi and Schumer, they have a plan. He won’t even meet with them. The Republicans won’t meet in the Senate. He sits in his golf course. Well, I mean, literally, think about it. Think about it."
President Donald J. Trump,2020-09-30 01:29:29,"You probably play more than I do, Joe."
Chris Wallace,2020-09-30 01:29:31,What about this question of reopenings and the fact-
President Donald J. Trump,2020-09-30 01:29:33,"Well, he wants to shut down this country and I want to keep it open, and we did a great thing by shutting it down-"
Vice President Joe Biden,2020-09-30 01:29:40,You just admitted you’d shut it down.
President Donald J. Trump,2020-09-30 01:29:40,"Wait a minute, Joe. Let me shut you down for a second, Joe, just for one second. He wants to shut down the country. We just went through it. We had to, because we didn’t know anything about the disease. Now we’ve found that elderly people with heart problems and diabetes and different problems are very, very vulnerable. We learned a lot. Young children aren’t, even younger people aren’t. We’ve learned a lot, but he wants to shut it down. More people will be hurt by continuing. If you look at Pennsylvania, if you look at certain states that have been shut down, they have Democrat governors, all, one of the reasons they shut down is because they want to keep it shut down until after the election on November 3rd."
Chris Wallace,2020-09-30 01:30:19,All right. I want to move onto another-
President Donald J. Trump,2020-09-30 01:30:20,Because it’s a political thing.
Chris Wallace,2020-09-30 01:30:20,I want to move onto another subject.
Vice President Joe Biden,2020-09-30 01:30:20,I got to respond to that.
Chris Wallace,2020-09-30 01:30:20,I want to move-
President Donald J. Trump,2020-09-30 01:30:22,But those states-
Chris Wallace,2020-09-30 01:30:23,"Gentlemen, I want to move onto another subject."
President Donald J. Trump,2020-09-30 01:30:25,Those states are not doing well that are shut down right now.
Vice President Joe Biden,2020-09-30 01:30:27,I got to respond to that.
President Donald J. Trump,2020-09-30 01:30:29,He wants to shut down the whole country.
Chris Wallace,2020-09-30 01:30:29,"President Trump, you have begun to increasingly question the effectiveness of masks as a disease preventer. And in fact, recently you have cited the issue of waiters touching their masks and touching plates. Are you questioning the efficacy of masks?"
President Donald J. Trump,2020-09-30 01:30:45,"No, I think masks are okay. You have to understand, if you look… I mean, I have a mask right here. I put a mask on when I think I need it. Tonight, as an example, everybody’s had a test and you’ve had social distancing and all of the things that you have to, but I wear masks-"
Vice President Joe Biden,2020-09-30 01:30:58,Just like your rally.
President Donald J. Trump,2020-09-30 01:30:58,"… when needed. When needed, I wear masks."
Chris Wallace,2020-09-30 01:31:00,Okay. Let me ask-
President Donald J. Trump,2020-09-30 01:31:01,"I don’t wear a mask like him. Every time you see him, he’s got a mask. He could be speaking 200 feet away from him and he shows up with the biggest mask I’ve ever seen. I will say this-"
Chris Wallace,2020-09-30 01:31:10,"Vice President Biden, go ahead, sir."
Vice President Joe Biden,2020-09-30 01:31:13,"Look, the way to open businesses is give them the wherewithal to be able open. We provided money, the-"
Chris Wallace,2020-09-30 01:31:20,"But I was asking you, sir, about masks."
Vice President Joe Biden,2020-09-30 01:31:21,"Well, masks make a big difference. His own head of the CDC said if we just wore masks between now, if everybody wore a mask and social distanced between now and January, we’d probably save up to 100,000 lives. It matters. It matters."
President Donald J. Trump,2020-09-30 01:31:35,And they’ve also said the opposite. They’ve also said-
Vice President Joe Biden,2020-09-30 01:31:37,No serious person has said the opposite. No serious person.
Chris Wallace,2020-09-30 01:31:39,Okay. I want to ask you-
President Donald J. Trump,2020-09-30 01:31:42,Dr. Fauci. Dr. Fauci said the opposite.
Vice President Joe Biden,2020-09-30 01:31:43,He did not say the opposite.
Chris Wallace,2020-09-30 01:31:44,"I want to ask you, we’ve got a little than a minute left in this segment."
President Donald J. Trump,2020-09-30 01:31:47,"He said very strongly, “Masks are not good.” Then he changed his mind. He said, “Masks are good.”"
Chris Wallace,2020-09-30 01:31:50,I want to ask-
President Donald J. Trump,2020-09-30 01:31:50,I’m okay with masks. I’m not fighting masks.
Chris Wallace,2020-09-30 01:31:52,"I want to ask you both about one last subject because your different approaches has even affected the way that you have campaigned. President Trump, you’re holding large rallies with crowds packed together, thousands of people."
President Donald J. Trump,2020-09-30 01:32:03,Outside.
Chris Wallace,2020-09-30 01:32:04,"Outside. Yes, sir. Agreed. Vice President Biden, you are holding much smaller events with-"
President Donald J. Trump,2020-09-30 01:32:11,Because nobody will show up.
Chris Wallace,2020-09-30 01:32:12,… people with masks.
President Donald J. Trump,2020-09-30 01:32:12,"Well, it’s true. Nobody shows up to his rallies."
Chris Wallace,2020-09-30 01:32:15,"All right. In any case, why you holding the big rallies? Why you not? You go first, sir."
President Donald J. Trump,2020-09-30 01:32:21,Because people want to hear what I have to say. I mean-
Chris Wallace,2020-09-30 01:32:24,But are not worried about us spreading disease?
President Donald J. Trump,2020-09-30 01:32:26,"… I’m doing my job as a president, and I’ll have 25, 35,000 people show up at airports. We use airports and hangers and we have a lot of people-"
Chris Wallace,2020-09-30 01:32:31,"Are you not worried about the disease issues, sir?"
President Donald J. Trump,2020-09-30 01:32:33,"Well, so far we have had no problem whatsoever. It’s outside. That’s a big difference according to the experts. We do them outside, we have tremendous crowds, as you see, and literally on 24 hours notice. And Joe does the circles and has three people someplace."
Vice President Joe Biden,2020-09-30 01:32:51,"By the way, did you see one of the last big rallies he had? A reporter came up to him to ask him a question, he said, “No, no, no. Stand back, put on your mask, put on a mask. Have you been tested? I’m way far away from those other people.” That’s what he said, “I’m going to be okay.” He’s not worried about you. He’s not worried about the people out there ."
President Donald J. Trump,2020-09-30 01:33:13,We’ve had no negative effect.
Vice President Joe Biden,2020-09-30 01:33:14,No negative effect. Come on.
President Donald J. Trump,2020-09-30 01:33:16,"We’ve had no negative effect, and we’ve had 35, 40,000 people at these rallies."
Chris Wallace,2020-09-30 01:33:20,All right. Do you want to just quickly finish up? Because I want to move on to our next-
Vice President Joe Biden,2020-09-30 01:33:22,"Yes, I would. He’s been totally irresponsible the way in which he has handled the social distancing and people wearing masks, basically encouraged them not to. He’s a fool on this."
President Donald J. Trump,2020-09-30 01:33:33,"If you could get the crowds, you would have done the same thing. But you can’t. Nobody cares."
Chris Wallace,2020-09-30 01:33:37,"Gentlemen, can we move on to the-"
President Donald J. Trump,2020-09-30 01:33:38,No cares.
Chris Wallace,2020-09-30 01:33:38,"Gentlemen, can we move on to the economy?"
President Donald J. Trump,2020-09-30 01:33:40,Yes.
Chris Wallace,2020-09-30 01:33:40,"The economy is, I think it’s fair to say, recovering faster than expected from the shutdown-"
President Donald J. Trump,2020-09-30 01:33:47,Much faster.
Chris Wallace,2020-09-30 01:33:47,"… in the second quarter. The unemployment rate fell to 8.4% last month. The Federal Reserve says the hit to growth, which is going to be there, is not going to be nearly as big as they had expected. President Trump, you say we are in a V-shaped recovery. Vice President Biden, you say it’s more of a K-shape. What difference does that mean to the American people in terms of the economy? President Trump, in this segment you go first."
President Donald J. Trump,2020-09-30 01:34:17,"So we built the greatest economy in history. We closed it down because of the China plague. When the plague came in, we closed it down, which was very hard psychologically to do. He didn’t think we should close it down and he was wrong. Again, two million people would be dead now instead of… Still, 204,000 people is too much. One person is too much. Should have never happened from China. But what happened is we closed it down and now we’re reopening and we’re doing record business. We had 10.4 million people in a four month period that we’ve put back into the workforce. That’s a record the likes of which nobody’s ever seen before. And he wants to close down the… He will shut it down again. He will destroy this country."
President Donald J. Trump,2020-09-30 01:34:56,"A lot of people, between drugs and alcohol and depression, when you start shutting it down, you take a look at what’s happening at some of your Democrat-run states where they have these tough shutdowns. And I’m telling you it’s because they don’t want to open it. One of them came out last week, you saw that, “Oh, we’re going to open up on November 9th.” Why November 9th? Because it’s after the election. They think they’re hurting us by keeping them closed. They’re hurting people. People know what to do. They can social distance. They can wash their hands, they can wear masks. They can do whatever they want, but they got to open these states up."
President Donald J. Trump,2020-09-30 01:35:29,"When you look at North Carolina, when you look, and these governors are under siege, Pennsylvania, Michigan, and a couple of others, you got to open these states up. It’s not fair. You’re talking about almost it’s like being in prison. And you look at what’s going on with divorce, look at what’s going on with alcoholism and drugs. It’s a very, very sad thing. And he’ll close down the whole country. This guy will close down the whole country and destroy our country. Our country is coming back incredibly well, setting records as it does it. We don’t need somebody to come in and say, “Let’s shut it down.”"
Chris Wallace,2020-09-30 01:36:01,"All right. Your two minutes, sir. We’re now moved to you. As I said, posing the question, the president says it’s a V-shape recovery, you say it’s a K-shaped recovery. What’s the difference?"
Vice President Joe Biden,2020-09-30 01:36:13,"The difference is millionaires and billionaires like him in the middle of the COVID crisis have done very well. Billionaires have made another $300 billion because of his profligate tax proposal, and he only focused on the market. But you folks at home, you folks living in Scranton and Claymont and all the small towns and working class towns in America, how well are you doing? This guy paid a total of $750 in taxes."
President Donald J. Trump,2020-09-30 01:36:42,That’s wrong.
Chris Wallace,2020-09-30 01:36:43,"Sir, wait. No. Sir-"
President Donald J. Trump,2020-09-30 01:36:43,.
Chris Wallace,2020-09-30 01:36:45,"Yeah, I understand. You’ve agreed to the two minutes, so please let him have it."
Vice President Joe Biden,2020-09-30 01:36:48,"Do I get my time back? The fact is that he has in fact, worked on this in a way that he’s going to be the first president of the United States to leave office, having fewer jobs in his administration than when he became president. Fewer jobs than when he became president. First one in American history."
Vice President Joe Biden,2020-09-30 01:37:05,"Secondly, the people who have lost their jobs are those people who have been on the front lines. Those people who have been saving our lives, those people who have been out there dying. People who’ve been putting themselves in the way to make sure that we could all try to make it. And the idea that he is insisting that we go forward and open when you have almost half the states in America with a significant increase in COVID deaths and COVID cases in the United States of America, and he wants to open it up more. Why is he want to open it up? Why does he take care of the… You can’t fix the economy until you fix the COVID crisis. And he has no intention of doing anything about making it better for you all at home in terms of your health and your safety."
Vice President Joe Biden,2020-09-30 01:37:50,"Schools. Why aren’t schools open? Because it costs a lot of money to open them safely. They were going to give, his administration going to give the teachers and school students masks, and then they decided no, couldn’t do that because it’s not a national emergency. Not a national emergency. They’ve done nothing to help small businesses. Nothing. They’re closing. One in six is now gone. He ought to get on the job and take care of the needs of the American people so we can open safely."
Chris Wallace,2020-09-30 01:38:19,"All right. Your time is up, sir. We are going to get to-"
President Donald J. Trump,2020-09-30 01:38:21,I have to respond to that.
Chris Wallace,2020-09-30 01:38:22,"Well, you both had two minutes, sir."
President Donald J. Trump,2020-09-30 01:38:24,"Excuse me, he made a statement."
Chris Wallace,2020-09-30 01:38:26,And so did you.
President Donald J. Trump,2020-09-30 01:38:28,"No, people want their schools open. They don’t want to be shut down. They don’t want their state shut down. They want their restaurants. I look at New York. It’s so sad what’s happening in New York. It’s almost like a ghost town, and I’m not sure it can ever recover what they’ve done to New York. People want their places open. They want to get back to their lives."
Vice President Joe Biden,2020-09-30 01:38:44,People want to be safe.
President Donald J. Trump,2020-09-30 01:38:45,"They’ll be careful, but they want their schools open."
Vice President Joe Biden,2020-09-30 01:38:47,People want to be safe.
President Donald J. Trump,2020-09-30 01:38:48,"I’m the one that brought back football. By the way, I brought back Big Ten football. It was me and I’m very happy to do it-"
Chris Wallace,2020-09-30 01:38:55,All right. Let’s-
President Donald J. Trump,2020-09-30 01:38:56,… and people of Ohio are very proud of me. And you know how I found out? When .
Chris Wallace,2020-09-30 01:39:01,"Gentlemen, we’re going to get to your economic plans going forward in a moment, but first, Mr. President, as you well know, there’s a new report that in 2016, the year you were elected president, and 2017, your first year as president, that you paid $750 a year in federal income tax each of those years. I know that you pay a lot of other taxes, but I’m asking you this specific question. Is it true that you paid $750 in federal income taxes each of those two years?"
President Donald J. Trump,2020-09-30 01:39:33,"I paid millions of dollars in taxes, millions of dollars of income tax. And let me just tell you, there was a story in one of the papers that paid-"
Vice President Joe Biden,2020-09-30 01:39:41,Show us your tax returns.
President Donald J. Trump,2020-09-30 01:39:42,"I paid $38 million one year, I paid $27 million one year."
Vice President Joe Biden,2020-09-30 01:39:49,Show us your tax returns.
President Donald J. Trump,2020-09-30 01:39:49,"You’ll see it as soon as it’s finished, you’ll see it. You know, if you wanted to, go to the Board of Elections. There’s 118 page or so report that says everything I have, every bank I have, I’m totally under leveraged because the assets are extremely good, and I built a great company."
Chris Wallace,2020-09-30 01:40:07,"Sir, I’m asking you a specific question, which is-"
President Donald J. Trump,2020-09-30 01:40:08,But let me tell you-
Chris Wallace,2020-09-30 01:40:08,I understand all of that.
Vice President Joe Biden,2020-09-30 01:40:09,Release your tax return.
Chris Wallace,2020-09-30 01:40:10,I understand all of that-
President Donald J. Trump,2020-09-30 01:40:10,Let me-
Chris Wallace,2020-09-30 01:40:12,"No, Mr. President, I’m asking you a question. Will you tell us how much you paid in federal income taxes in 2016 and 2017?"
President Donald J. Trump,2020-09-30 01:40:21,Millions of dollars.
Chris Wallace,2020-09-30 01:40:23,You paid millions of dollars in-
President Donald J. Trump,2020-09-30 01:40:24,"Millions of dollars, yes."
Chris Wallace,2020-09-30 01:40:24,So not 750?
President Donald J. Trump,2020-09-30 01:40:25,Millions of dollars. And you’ll get to see it. And you’ll get to see it.
Vice President Joe Biden,2020-09-30 01:40:28,When? Inshallah?
President Donald J. Trump,2020-09-30 01:40:29,But let me just tell you-
Vice President Joe Biden,2020-09-30 01:40:30,In ?
President Donald J. Trump,2020-09-30 01:40:30,"Chris, let me just say something, that it was the tax laws. I don’t want to pay tax. Before I came here, I was a private developer, I was a private business people. Like every other private person, unless they’re stupid, they go through the laws, and that’s what it is. He passed a tax bill that gave us all these privileges for depreciation and for tax credits. We build the building and we get tax credits, like the hotel on Pennsylvania Avenue. Which by the way, was given to me by the Obama administration, if you can believe that. Now the man got fired right after that happened, but that’s-"
Chris Wallace,2020-09-30 01:41:05,"Vice President Biden, you want to respond?"
Vice President Joe Biden,2020-09-30 01:41:07,"Yeah, I do want to respond. Look, the tax code that put him in a position that he pays less tax than on the money a school teacher makes is because of him… He says he’s smart because he can take advantage of the tax code. And he does take advantage of the tax code. That’s why I’m going to eliminate the Trump tax cuts. And I’m going to eliminate those tax cuts."
President Donald J. Trump,2020-09-30 01:41:31,That’s okay.
Vice President Joe Biden,2020-09-30 01:41:32,And make sure that we invest in the people who in fact need the help. People out there need help.
President Donald J. Trump,2020-09-30 01:41:38,But why didn’t you do it over the last 25 years?
Vice President Joe Biden,2020-09-30 01:41:41,Because you weren’t president-
President Donald J. Trump,2020-09-30 01:41:43,Why didn’t you do it over the last 25 years?
Vice President Joe Biden,2020-09-30 01:41:44,Because you weren’t president and screwing things up.
President Donald J. Trump,2020-09-30 01:41:45,You were a Senator and -
Vice President Joe Biden,2020-09-30 01:41:46,You’re the worst president America has ever had. Come on.
President Donald J. Trump,2020-09-30 01:41:49,"Hey, Joe, let me just tell you, Joe. In 47 months, I’ve done more than you’ve done in 47 years, Joe. We’ve done things that you never even thought of doing."
Chris Wallace,2020-09-30 01:41:58,Okay. Gentlemen?
President Donald J. Trump,2020-09-30 01:41:58,"Including fixing the broken military that you gave me, including taking care of your debts."
Chris Wallace,2020-09-30 01:42:03,"Mr. President, we’re talking about the economy. I’d like to ask you about your plans going forward because Mr. Vice President, your economic plan-"
President Donald J. Trump,2020-09-30 01:42:11,He has none.
Chris Wallace,2020-09-30 01:42:12,"… if you were to be elected president focuses a lot on big government, big taxes, big spending. I want to focus first on the taxes. You propose more than $4 trillion over a decade in new taxes on individuals making more than $400,000 a year."
Chris Wallace,2020-09-30 01:42:28,"… on individuals making more than $400,000 a year and on corporations. President Trump says that that kind of an increase in taxes is going to hurt the economy as it’s just coming out of a recession."
Vice President Joe Biden,2020-09-30 01:42:38,"Well, just take a look at what is the analysis done by Wall Street firms, points out that my economic plan would create 7 million more jobs than his in four years, number one. And number two, it would create an additional $1 trillion in economic growth, because it would be about buying American. The federal government spends $600 billion a year on everything from ships, to steel, to buildings and the like. And under my proposal, we’re going to make sure that every penny of that has to be made by a company-"
Chris Wallace,2020-09-30 01:43:15,"But respectfully, sir, I’m talking about taxes, not spending."
Vice President Joe Biden,2020-09-30 01:43:18,"By the way, I’m going to eliminate a significant number of the taxes. I’m going to make the corporate tax 28%. It shouldn’t be 21%. You have 91 companies federal, I mean, the fortune 500, who don’t pay a single penny in tax making billions of dollars."
President Donald J. Trump,2020-09-30 01:43:34,"Why didn’t you do it before, when you were vice president with Obama?"
Vice President Joe Biden,2020-09-30 01:43:37,"Because you in fact passed that, that was your tax proposal."
President Donald J. Trump,2020-09-30 01:43:41,I got it done. And you know what happened?
Vice President Joe Biden,2020-09-30 01:43:42,"Yeah, you got it done-"
President Donald J. Trump,2020-09-30 01:43:43,Our economy boomed like it’s never boomed before.
Vice President Joe Biden,2020-09-30 01:43:45,The economy-
Chris Wallace,2020-09-30 01:43:45,Mr. President-
Vice President Joe Biden,2020-09-30 01:43:47,Let me finish.
Chris Wallace,2020-09-30 01:43:48,"Mr. President, let me pick up on that. You would continue your free market approach, lower taxes, more deregulation, correct?"
Vice President Joe Biden,2020-09-30 01:43:56,Not lower tax for the American people.
Chris Wallace,2020-09-30 01:43:59,But let me-
President Donald J. Trump,2020-09-30 01:43:59,Excuse me.
Chris Wallace,2020-09-30 01:43:59,"You talk about the economy booming. It turns out that in Obama’s final three years as president more jobs were created, a million and a half more jobs, than in the first three years of your presidency."
President Donald J. Trump,2020-09-30 01:44:12,"They had the slowest economic recovery since 1929. It was the slowest recovery. Also, they took over something that was down here. All you had to do is turn on the lights and you pick up a lot. But they had the slowest economic recovery since 1929, and let me tell you about the stock market. When the stock market goes up, that means jobs. It also means 401ks. If you got in, if you ever became president with your ideas, you want to terminate my taxes. I’ll tell you what, you’ll lose. Half of the companies that have poured in here will leave. And plenty of companies that are already here, they’ll leave for other places.  They will leave and you will have a depression, the likes of which you’ve never seen."
Vice President Joe Biden,2020-09-30 01:44:54,Look-
Chris Wallace,2020-09-30 01:44:54,Mr. Vice President.
Vice President Joe Biden,2020-09-30 01:44:55,"… we inherited the worst recession, short of a depression in American history. I was asked to bring it back. We were able to have an economic recovery that created the jobs you’re talking about. We handed him a booming economy, he blew it."
President Donald J. Trump,2020-09-30 01:45:09,It wasn’t blooming.
Vice President Joe Biden,2020-09-30 01:45:10,He blew it.
President Donald J. Trump,2020-09-30 01:45:11,He was in booming. It was the weakest recovery since 1929.
Chris Wallace,2020-09-30 01:45:15,"Wait, wait, is it fair to say he blew it when, in fact-"
President Donald J. Trump,2020-09-30 01:45:18,When COVID came along.
Chris Wallace,2020-09-30 01:45:19,… when there was record low unemployment before COVID.
Vice President Joe Biden,2020-09-30 01:45:22,"Yeah, because what he did, even before COVID, manufacturing went in the hole. Manufacturing went in a hole-"
President Donald J. Trump,2020-09-30 01:45:29,"Excuse me, Chris, wait."
Vice President Joe Biden,2020-09-30 01:45:30,… number one. Number two-
President Donald J. Trump,2020-09-30 01:45:31,Chris.
Vice President Joe Biden,2020-09-30 01:45:31,Number three.
President Donald J. Trump,2020-09-30 01:45:32,"They said it would take… No, you’re on number two."
Vice President Joe Biden,2020-09-30 01:45:34,No.
President Donald J. Trump,2020-09-30 01:45:35,"Chris, Chris. They said it would take-"
Vice President Joe Biden,2020-09-30 01:45:37,This guy-
President Donald J. Trump,2020-09-30 01:45:37,"… a miracle to bring back manufacturing. I brought back 700,000 jobs. They brought back nothing. They gave up on manufacturing."
Vice President Joe Biden,2020-09-30 01:45:45,We did not.
President Donald J. Trump,2020-09-30 01:45:46,… standard fare.
Vice President Joe Biden,2020-09-30 01:45:47,I’m the guy that brought back the automobile industry.
President Donald J. Trump,2020-09-30 01:45:50,He totally gave up on manufacturing.
Chris Wallace,2020-09-30 01:45:50,"All right, let him-"
Vice President Joe Biden,2020-09-30 01:45:50,"I was asked to bring back Chrysler and General Motors. He brought them back right here in the state of Ohio and Michigan. He blew it. They’re gone. He blew it. And in fact, they’re gone-"
President Donald J. Trump,2020-09-30 01:45:59,Ohio had the best year it’s ever had last year. Michigan had the best year they’ve ever had.
Vice President Joe Biden,2020-09-30 01:46:05,That is not true.
President Donald J. Trump,2020-09-30 01:46:06,"Many car companies came in from Germany, from Japan, went to Michigan, went to Ohio and they didn’t come in with you. ."
Chris Wallace,2020-09-30 01:46:12,"Mr. Vice President, go ahead."
Vice President Joe Biden,2020-09-30 01:46:13,And so you take a look at what he’s actually done. He’s done very little. His trade deals are the same way. He talks about these great trade deals. He talks about the art of the deal. China’s perfected the art of the steel. We have a higher deficit with China now than we did before. We have the highest trade deficit-
President Donald J. Trump,2020-09-30 01:46:31,China ate your lunch- .
Vice President Joe Biden,2020-09-30 01:46:33,… with Mexico.
President Donald J. Trump,2020-09-30 01:46:34,"China ate your lunch, Joe. And no wonder your son goes in and he takes out billions of dollars. He takes out billions of dollars to manage. He makes millions of dollars. And also, while we’re at it, why is it just out of curiosity, the mayor of Moscow’s wife gave you a son three and a half million dollars?"
Vice President Joe Biden,2020-09-30 01:46:53,That is not true.
President Donald J. Trump,2020-09-30 01:46:53,What did he do to deserve it? What did he do with-
Vice President Joe Biden,2020-09-30 01:46:56,None of that is true.
President Donald J. Trump,2020-09-30 01:46:56,"… to deserve $183,000?"
Chris Wallace,2020-09-30 01:46:56,"Sir, you’ve asked him a question, let him answer it."
Vice President Joe Biden,2020-09-30 01:47:02,None of that is true.
President Donald J. Trump,2020-09-30 01:47:03,"Oh really, he didn’t get three and a half million?"
Chris Wallace,2020-09-30 01:47:04,Mr. President-
Vice President Joe Biden,2020-09-30 01:47:05,Is totally-
Chris Wallace,2020-09-30 01:47:06,"Mr. President, please. You’ve asked a question-"
Vice President Joe Biden,2020-09-30 01:47:06,Totally discredited. Totally discredited. And by the way-
President Donald J. Trump,2020-09-30 01:47:10,"Well wait, he didn’t get three and a half million dollars, Joe?"
Vice President Joe Biden,2020-09-30 01:47:13,Mr. Vice-
President Donald J. Trump,2020-09-30 01:47:13,He got three and a half million-
Chris Wallace,2020-09-30 01:47:14,Mr. President.
President Donald J. Trump,2020-09-30 01:47:14,… dollars.
Vice President Joe Biden,2020-09-30 01:47:15,That is not true.
President Donald J. Trump,2020-09-30 01:47:16,"Oh, really?"
Chris Wallace,2020-09-30 01:47:16,"Mr. President, it’s an open discussion. Please-"
President Donald J. Trump,2020-09-30 01:47:21,It’s a fact.
Vice President Joe Biden,2020-09-30 01:47:22,It is not a fact.
Chris Wallace,2020-09-30 01:47:22,"Well, you have raised an issue, let the Vice President answer."
Vice President Joe Biden,2020-09-30 01:47:25,It’s been totally discredited.
President Donald J. Trump,2020-09-30 01:47:26,"Did Burisma pay him 183,000 a month, with no experience in energy?"
Chris Wallace,2020-09-30 01:47:31,Mr. President-
Vice President Joe Biden,2020-09-30 01:47:32,My son did nothing wrong at Barisma-
President Donald J. Trump,2020-09-30 01:47:35,I think he did.
Chris Wallace,2020-09-30 01:47:35,"Mr. President, let him answer. ."
Vice President Joe Biden,2020-09-30 01:47:36,"He doesn’t want to let me answer, because he knows I have the truth. His position has been totally thoroughly discredited-"
President Donald J. Trump,2020-09-30 01:47:45,By who?
Vice President Joe Biden,2020-09-30 01:47:45,And you can-
President Donald J. Trump,2020-09-30 01:47:45,The media.
Vice President Joe Biden,2020-09-30 01:47:45,"by everybody. Well, by the media, by our allies."
President Donald J. Trump,2020-09-30 01:47:48,"By the media, because they refuse to talk about it-"
Vice President Joe Biden,2020-09-30 01:47:48,By the World Bank-
President Donald J. Trump,2020-09-30 01:47:49,… because they’re embarrassed.
Vice President Joe Biden,2020-09-30 01:47:52,"By everyone, has discredited. And matter of fact  Matter of fact-"
Chris Wallace,2020-09-30 01:47:55,"Mr. President, please stop."
Vice President Joe Biden,2020-09-30 01:47:56,Even the people who testified under oath-
President Donald J. Trump,2020-09-30 01:47:58,"So let me ask you this, Joe- ."
Chris Wallace,2020-09-30 01:48:01,"Go ahead, I’m listening to you."
Vice President Joe Biden,2020-09-30 01:48:02,Even the people under-
President Donald J. Trump,2020-09-30 01:48:03,He got three and a half million dollars from Moscow.
Vice President Joe Biden,2020-09-30 01:48:05,… testified under oath in his administration said I did my job and I did it very well.
President Donald J. Trump,2020-09-30 01:48:12,"Oh, really?"
Vice President Joe Biden,2020-09-30 01:48:12,I did it honorably.
President Donald J. Trump,2020-09-30 01:48:12,I’d like to know who they are.
Vice President Joe Biden,2020-09-30 01:48:13,"Well, I’ll give you the list of the people who-"
President Donald J. Trump,2020-09-30 01:48:15,I’ll fire them.
Chris Wallace,2020-09-30 01:48:15,"No, no. Go ahead, sir."
Vice President Joe Biden,2020-09-30 01:48:16,"I’m sure that you’ve already fired most of them, because they did a good job."
President Donald J. Trump,2020-09-30 01:48:19,Some people don’t do a good job.
Vice President Joe Biden,2020-09-30 01:48:20,"Well, here’s the-"
Chris Wallace,2020-09-30 01:48:22,"Go ahead. You get the-  Wait a minute. You get the final word, Mr.-"
Vice President Joe Biden,2020-09-30 01:48:24,"Well, it’s hard to get any word in with this clown. Excuse me, this person."
President Donald J. Trump,2020-09-30 01:48:27,"Hey, let me just tell you, Joe-"
Vice President Joe Biden,2020-09-30 01:48:28,"No, no. Mr. President-"
President Donald J. Trump,2020-09-30 01:48:29,"Three and a half million, Joe."
Vice President Joe Biden,2020-09-30 01:48:31,That is simply not true.
President Donald J. Trump,2020-09-30 01:48:32,Why did he deserve three and a half million from Moscow?
Vice President Joe Biden,2020-09-30 01:48:34,"Look, here’s the deal. We want to talk about families and ethics. I don’t want to do that. I mean, his family, we could talk about all night. His family’s already-"
President Donald J. Trump,2020-09-30 01:48:44,My family-
Chris Wallace,2020-09-30 01:48:45,"No, no- ."
President Donald J. Trump,2020-09-30 01:48:45,My family lost a fortune by coming down and helping us with governance.
Vice President Joe Biden,2020-09-30 01:48:49,And that’s such a-
Chris Wallace,2020-09-30 01:48:50,Mr. President-
President Donald J. Trump,2020-09-30 01:48:51,Every single one of them lost a fortune-
Vice President Joe Biden,2020-09-30 01:48:52,"This is not about my family or his family. It’s about your family, the American people.  That’s not true. It doesn’t want to talk about what you need. You, the American people, it’s about you. That’s what we’re talking about here."
Chris Wallace,2020-09-30 01:49:08,That’s the end of the segment. We’re moving on.
Vice President Joe Biden,2020-09-30 01:49:11,He didn’t take that.
Chris Wallace,2020-09-30 01:49:12,Vice President-
President Donald J. Trump,2020-09-30 01:49:12,"Chris, can I be honest? It’s a very important question-"
Vice President Joe Biden,2020-09-30 01:49:14,Try to be honest.
Chris Wallace,2020-09-30 01:49:15,No.
President Donald J. Trump,2020-09-30 01:49:15,He stood up-
